NUTS_CODE,NUTS_BN_CODE
AT111,1962
AT111,1965
AT111,2035
AT111,2041
AT111,2042
AT112,2106
AT112,2141
AT112,2181
AT112,2182
AT113,1813
AT113,1929
AT113,1946
AT113,1964
AT121,2072
AT121,2081
AT121,2108
AT121,2169
AT121,2222
AT121,2246
AT121,2257
AT121,2258
AT122,2002
AT122,2094
AT122,2161
AT122,2162
AT123,2192
AT123,2260
AT123,2261
AT124,2292
AT124,2315
AT124,2413
AT124,2427
AT124,2453
AT125,2306
AT125,2322
AT125,2337
AT125,2421
AT126,2200
AT126,2204
AT126,2245
AT126,2275
AT127,2201
AT127,2205
AT211,1752
AT211,1758
AT211,1782
AT211,1788
AT212,1765
AT212,1773
AT212,1823
AT212,1824
AT212,1867
AT212,1869
AT212,1873
AT213,1735
AT213,1739
AT213,1768
AT213,1853
AT213,1859
AT221,1895
AT221,1899
AT221,1926
AT221,1927
AT222,1916
AT222,1968
AT222,1974
AT222,2063
AT222,2069
AT222,2071
AT223,1947
AT223,2001
AT224,1778
AT224,1803
AT224,1843
AT225,1771
AT225,1777
AT225,1894
AT226,1905
AT311,2142
AT311,2175
AT311,2179
AT311,2213
AT311,2240
AT311,2270
AT311,2299
AT311,2311
AT311,2320
AT311,2321
AT312,2168
AT312,2180
AT312,2291
AT313,2362
AT313,2380
AT313,2381
AT314,2140
AT315,1980
AT315,2143
AT321,1915
AT322,1863
AT322,1880
AT322,1992
AT322,2032
AT322,2047
AT322,2048
AT323,2126
AT323,2137
AT331,1909
AT331,1938
AT331,1986
AT331,1993
AT331,1994
AT332,1847
AT332,1940
AT332,1958
AT332,1959
AT333,1775
AT333,1861
AT334,1827
AT334,1842
AT334,1883
AT334,1939
AT335,1862
AT335,1979
AT335,2013
AT335,2028
AT335,2058
AT335,2066
AT341,1858
AT341,1879
AT341,1975
AT341,1976
AT342,1911
AT342,1988
AT342,1989
AT342,2009
BE100,3085
BE100,3122
BE211,3285
BE211,3372
BE211,3385
BE211,3388
BE211,3420
BE211,3447
BE212,3194
BE212,3195
BE212,3249
BE212,3260
BE212,3286
BE213,3196
BE213,3271
BE213,3319
BE213,3423
BE213,3474
BE213,3475
BE221,3025
BE221,3173
BE221,3192
BE221,3272
BE222,3177
BE222,3207
BE222,3303
BE222,3329
BE223,3026
BE223,3081
BE223,3156
BE231,3039
BE231,3125
BE231,3153
BE231,3163
BE231,3164
BE232,3193
BE232,3222
BE232,3263
BE233,3300
BE233,3322
BE233,3327
BE234,3124
BE234,3127
BE234,3248
BE234,3275
BE234,3304
BE234,3305
BE235,3036
BE235,3038
BE235,3057
BE235,3118
BE236,3364
BE236,3371
BE241,3030
BE241,3054
BE241,3071
BE241,3170
BE242,3042
BE242,3055
BE251,3209
BE251,3217
BE251,3247
BE251,3332
BE251,3380
BE251,3381
BE252,3154
BE252,3181
BE252,3251
BE252,3262
BE253,3059
BE253,3061
BE253,3091
BE253,3128
BE253,3148
BE253,3155
BE254,3056
BE254,3062
BE254,3119
BE254,3126
BE255,3277
BE255,3331
BE256,3218
BE258,3235
BE258,3276
BE310,2984
BE310,2999
BE310,3014
BE310,3041
BE321,2950
BE321,2990
BE321,3031
BE321,3037
BE322,2883
BE322,2945
BE322,2968
BE322,2983
BE323,2934
BE323,2942
BE323,2991
BE324,3060
BE325,2944
BE326,2756
BE326,2761
BE326,2882
BE326,2894
BE327,3017
BE331,2911
BE331,2922
BE331,2929
BE331,2980
BE331,2981
BE331,2994
BE332,3018
BE332,3021
BE332,3082
BE334,3000
BE335,2886
BE335,2899
BE335,2961
BE335,2975
BE335,3044
BE335,3048
BE336,2833
BE336,2880
BE336,2885
BE336,2951
BE336,2963
BE336,3045
BE341,2627
BE341,2701
BE341,2708
BE341,2723
BE341,2724
BE342,2777
BE342,2832
BE342,2862
BE343,2806
BE343,2901
BE344,2700
BE344,2706
BE344,2805
BE345,2626
BE345,2656
BE345,2676
BE351,2822
BE351,2866
BE351,2921
BE352,2878
BE353,2821
BG311,1225
BG311,1269
BG311,1292
BG311,5647
BG312,1111
BG312,1221
BG312,1231
BG312,5633
BG313,1098
BG313,1114
BG313,1197
BG313,1198
BG313,1222
BG314,1142
BG314,1188
BG314,1203
BG314,1213
BG315,1018
BG315,1030
BG315,1090
BG315,1112
BG315,1122
BG321,1028
BG321,1072
BG321,1107
BG321,1133
BG321,1187
BG321,1189
BG322,1029
BG323,1167
BG323,1193
BG323,1232
BG323,1259
BG323,1260
BG324,1172
BG324,1195
BG324,1247
BG325,1196
BG325,1255
BG325,1261
BG325,1277
BG325,1279
BG331,1076
BG331,1132
BG331,1181
BG331,1182
BG332,1191
BG332,1206
BG332,1257
BG333,1073
BG333,1078
BG333,1149
BG334,1085
BG341,932
BG341,1006
BG341,1039
BG341,1067
BG342,1009
BG342,1026
BG343,913
BG343,927
BG343,948
BG343,953
BG344,947
BG344,1015
BG411,1012
BG411,1053
BG412,944
BG412,966
BG412,986
BG412,998
BG412,1019
BG412,1056
BG412,5626
BG413,822
BG413,841
BG413,844
BG413,870
BG413,919
BG413,931
BG413,945
BG414,1003
BG414,5614
BG415,940
BG415,963
BG415,5611
BG421,896
BG421,903
BG421,934
BG421,987
BG422,878
BG422,897
BG422,899
BG423,902
BG424,823
BG424,849
